close,volume,open,high,low
171.35,"28,027,983",169.85,172.06,169
167.37,40382890,163.045,167.54,162.88
164.34,32483310,161.95,164.75,161.65
162.71,60774900,158.5,163.89,157.51
156.41,70583530,157.07,157.89,150.24
155.15,54145930,160.29,161,155.03
159.54,51467440,163.085,163.4,159.0685
163.03,68171940,154.83,163.72,154
156.49,72215320,159.1,163.88,156
160.5,85957050,166,166.8,160.1
167.78,44453230,167.165,168.62,166.76
167.43,32234520,166.87,168.4417,166.5
166.97,45635470,165.525,167.37,164.7
167.96,50565420,170.16,170.16,167.07
171.51,39075250,172,172,170.06
171.11,41438280,174.505,174.95,170.53
174.22,51368540,177.25,177.3,173.2
177.04,32395870,177.3,179.44,176.82
177,27052000,177.3,177.78,176.6016
178.46,31306390,178.61,179.58,177.41
179.26,31087330,179.37,180.1,178.25
179.1,34260230,176.15,179.25,175.07
176.19,29512410,177.9,179.39,176.14
